ShortIdentifier; Name
Komplexpraktikum_Mikrokernbasierte_Betriebssysteme;Komplexpraktikum Mikrokernbasierte Betriebssysteme 
Komplexpraktikum_Mobile_and_Ubiquitous_Computing;Komplexpraktikum Mobile and Ubiquitous Computing 
Komplexpraktikum_Mobile_Applikationen_zur_ubiquitären_Exploration_von_Veranstaltungsdaten;Komplexpraktikum Mobile Applikationen zur ubiquitären Exploration von Veranstaltungsdaten
Komplexpraktikum_Modellierung_und_quantitative_Systemanalyse_I;Komplexpraktikum Modellierung und quantitative Systemanalyse I
Komplexpraktikum_Modellierung_und_quantitative_Systemanalyse_I;Komplexpraktikum Modellierung und quantitative Systemanalyse I
Komplexpraktikum_Modellierung_und_quantitative_Systemanalyse_II;Komplexpraktikum Modellierung und quantitative Systemanalyse II
Komplexpraktikum_Modellierung_und_quantitative_Systemanalyse_II;Komplexpraktikum Modellierung und quantitative Systemanalyse II
Komplexpraktikum_Multimedia_Information_Retrieval;Komplexpraktikum Multimedia Information Retrieval 
Komplexpraktikum_Multimediatechnik;Komplexpraktikum Multimediatechnik 
Komplexpraktikum_Multimodale_Interaktion;Komplexpraktikum Multimodale Interaktion 
Komplexpraktikum_OUTPUT.DD;Komplexpraktikum OUTPUT.DD
Komplexpraktikum_Paralleles_Rechnen;Komplexpraktikum Paralleles Rechnen
Komplexpraktikum_Parallelizing_SAT_Preprocessors;Komplexpraktikum Parallelizing SAT Preprocessors 
Komplexpraktikum_Prozesskommunikation;Komplexpraktikum Prozesskommunikation 
Komplexpraktikum_Prozessorentwurf;Komplexpraktikum Prozessorentwurf 
Komplexpraktikum_Service_and_Cloud_Computing;Komplexpraktikum Service and Cloud Computing 
Komplexpraktikum_Software_Engineering_Ubiquitärer_Systeme_(SEUS);Komplexpraktikum Software Engineering Ubiquitärer Systeme (SEUS)
Komplexpraktikum_Software_Fault_Tolerance;Komplexpraktikum Software Fault Tolerance
Komplexpraktikum_Softwaretechnologie;Komplexpraktikum Softwaretechnologie
Komplexpraktikum_Spiel_und_Musik;Komplexpraktikum Spiel und Musik 
Komplexpraktikum_Systemnahe_Programmierung;Komplexpraktikum Systemnahe Programmierung 
Komplexpraktikum_Systems_Engineering;Komplexpraktikum Systems Engineering
Komplexpraktikum_Technische_Informationssysteme;Komplexpraktikum Technische Informationssysteme 
Komplexpraktikum_Theoretische_Informatik;Komplexpraktikum Theoretische Informatik 
Komplexpraktikum_Ubiquitäre_Konfiguration_mit_Tangibles;Komplexpraktikum Ubiquitäre Konfiguration mit Tangibles
Komplexpraktikum_User_Interface_Engineering;Komplexpraktikum User Interface Engineering 
Komplexpraktikum_Visualisierung_und_Animation;Komplexpraktikum Visualisierung und Animation 
Komplexpraktikum_Visualisierungs-_und_Interaktionstechniken;Komplexpraktikum Visualisierungs- und Interaktionstechniken
Komplexpraktikum_Web_&_Multimedia-Engineering;Komplexpraktikum Web & Multimedia-Engineering 
Konstruktionslehre_2;Konstruktionslehre 2
Konsultation_Automatisierungstechnik;Konsultation Automatisierungstechnik
Konzepte_der_parallelen_Programmierung;Konzepte der parallelen Programmierung 
Kosten-_und_Leistungsrechnung_für_Nichtwirtschaftswissenschaftler;Kosten- und Leistungsrechnung für Nichtwirtschaftswissenschaftler
Kryptographie_und_-analyse;Kryptographie und -analyse
Lab_Course_Modeling_and_Automated_Verification;Lab Course Modeling and Quantitative System Analysis
Lab_Course_Modeling_and_Quantitative_System_Analysis;Lab: Systems Engineering 
Lab:_Systems_Engineering;Lab Course Modeling and Automated Verification
Landmaschinentechnik_II;Landmaschinentechnik II
Lärmschutz;Lärmschutz
Laserscanning_und_3D_Punktwolkenverarbeitung_(Wahlpflicht);Laserscanning und 3D Punktwolkenverarbeitung (Wahlpflicht)
Leistungs-_und_Energieeffizienz-Analyse_für_innovative_Rechnerarchitekturen;Leistungs- und Energieeffizienz-Analyse für innovative Rechnerarchitekturen
Leistungsanalyse_von_Rechnersystemen;Leistungsanalyse von Rechnersystemen
Leistungselektronik_1;Leistungselektronik 1
Lernen_und_Gedächtnis;Lernen und Gedächtnis
Linux_Cluster_in_Theorie_und_Praxis;Linux Cluster in Theorie und Praxis 
Logic;Logic 
Logic_Programming_Engineering;Logic Programming Engineering
Luftverkehrsanlagen,_-betrieb_und_Flugsicherung;Luftverkehrsanlagen, -betrieb und Flugsicherung
Machine_Learning_1;Machine Learning 1
Machine_Learning_2:_Structured_Models;Machine Learning 2: Structured Models
Machine_Translation_Lab;Machine Translation Lab 
Makroökonomie_für_Nichtwirtschaftswissenschaftler;Makroökonomie für Nichtwirtschaftswissenschaftler
Managementprozesse;Managementprozesse
Marketing;Marketing
Maschinelles_Lernen_in_der_Sprachverarbeitung;Maschinelles Lernen in der Sprachverarbeitung
Maschinelles_Übersetzen_natürlicher_Sprachen;Maschinelles Übersetzen natürlicher Sprachen
Massivparalleles_Rechnen_auf_FPGAs_und_GPUs;Massivparalleles Rechnen auf FPGAs und GPUs
Master-Praktikum_Verarbeitung_natürlicher_Sprachen_I;Master-Praktikum Verarbeitung natürlicher Sprachen I
Master-Praktikum_Verarbeitung_natürlicher_Sprachen_II;Master-Praktikum Verarbeitung natürlicher Sprachen II
Masterpraktikum_Prozessorentwurf;Masterpraktikum Prozessorentwurf
Masterpraktikum_Rechnerarchitektur;Masterpraktikum Rechnerarchitektur
Materialflusstechnik_und_Logistik;Materialflusstechnik und Logistik
Mathematik_1_für_Informatiker:_Diskrete_Strukturen_&_Lineare_Algebra;Mathematik 1 für Informatiker: Diskrete Strukturen & Lineare Algebra
Mathematik_2_für_Informatiker;Mathematik 2 für Informatiker
Mathematik_3_für_Informatiker;Mathematik 3 für Informatiker
Mathematik_für_Informatiklehrer;Mathematik für Informatiklehrer
Mathematik_für_Lehramt;Mathematik für Lehramt
Medien_und_Medienströme;Medien und Medienströme
Mediengestaltung_für_Fortgeschrittene;Mediengestaltung für Fortgeschrittene 
Medienpsychologie_und_-didaktik;Medienpsychologie und -didaktik
Medienwirkungsforschung;Medienwirkungsforschung
Medizinische_Bildgebung;Medizinische Bildgebung
Medizinische_Bildverarbeitung_und_autostereoskopische_Visualisierung;Medizinische Bildverarbeitung und autostereoskopische Visualisierung
Medizintechnik-relevante_Lebensstrukturen_und_-prozesse;Medizintechnik-relevante Lebensstrukturen und -prozesse
Mehrachssteuerung;Mehrachssteuerung
Mensch-Computer_Interaktion;Mensch-Computer Interaktion
Microkernel_Construction;Microkernel-Based Operating Systems
Microkernel-Based_Operating_Systems;Microkernel Construction
Mikroökonomie;Mikroökonomie
Mikrosystem-_und_Halbleitertechnologie;Mikrosystem- und Halbleitertechnologie
Mikrosysteme;Mikrosysteme
Mining_Facebook;Mining Facebook
Mobile_Cartography;Mobile Cartography
Mobile_Communication_and_Mobile_Computing;Mobile Communication and Mobile Computing
Mobile_Sensing;Mobile Sensing
Mobile_Sensing_Lab;Mobile Sensing Lab
Modal_Logic: Modal Logic
Model_Checking;Model-Driven Web Engineering II
Model-Driven_Web_Engineering_I;Model Checking 
Model-Driven_Web_Engineering_II;Model-Driven Web Engineering I
Modeling_and_Simulation;Modeling and Simulation
Modellbildung_und_Simulation;Modellbildung und Simulation
Modelle_in_der_BMT;Modelle in der BMT
Modellgestützte_Planung;Modellgestützte Planung
Modellierung_des_Leistungsverhaltens_von_Verkehrssystemen_und_Statistik;Modellierung des Leistungsverhaltens von Verkehrssystemen und Statistik
Modellierung_und_quantitative_Systemanalyse;Modellierung und quantitative Systemanalyse 
Modellierung_und_Simulation_in_der_Biomedizintechnik;Modellierung und Simulation in der Biomedizintechnik
Modellierung_und_Simulation_in_der_Technischen_Informatik;Modellierung und Simulation in der Technischen Informatik 
Moderne_Verfahren_der_photogrammetrischen_Geodatenakquisition;Moderne Verfahren der photogrammetrischen Geodatenakquisition
Molekulares_Rechnen_-_in_vitro_und_in_vivo;Molekulares Rechnen - in vitro und in vivo
Monitoring_und_Diagnose;Monitoring und Diagnose 
Montagetechnik_und_steuerung;Montagetechnik und steuerung
Multimediakommunikation;Multimediakommunikation
Multimodale_Benutzungsoberflächen;Multimodale Benutzungsoberflächen
Mustererkennung;Mustererkennung 
Nachhaltige_Unternehmensführung;Nachhaltige Unternehmensführung
Nachrichtentechnik;Nachrichtentechnik
Natural_Language_Processing_for_Knowledge_Representation;Natural Language Processing for Knowledge Representation
Navigation;Navigation
Network_Simulation; Network Simulation
Networks,_Function_and_Genomics;Networks, Function and Genomics
Netzwerkmanagement_in_industriellen_Anwendungen;Netzwerkmanagement in industriellen Anwendungen
Neural_Symbolic_Integration;Neural Symbolic Integration
NLP_Reading_Group;NLP Reading Group 
Numerische_Methoden_der_Festkörpermechanik;Numerische Methoden der Festkörpermechanik
Numerische_Methoden_I;Numerische Methoden I
Numerische_Methoden_II_(CFD);Numerische Methoden II (CFD)
Nutzung_von_Standardsoftware;Nutzung von Standardsoftware
Online-Kommunikation;Online-Kommunikation
Operating-System_Contruction; Operatings-System Construction (OSC)
Optimierung_und_Numerik;Optimierung und Numerik
Optimierung_und_Numerik_II;Optimierung und Numerik II
Optimierungsverfahren;Optimierungsverfahren
Optische_3D-Messverfahren;Optische 3D-Messverfahren
Organisation;Organisation
Ortung,_Navigation_und_Zielführung_I/2;Ortung, Navigation und Zielführung I/2
Ortung,_Navigation_und_Zielführung_II;Ortung, Navigation und Zielführung II
Parallele_Programmierung,_Algorithmen_und_Methoden;Parallele Programmierung, Algorithmen und Methoden
Permutationsgruppen;Permutationsgruppen
Performance_Analysis_Of_Computing_Systems;Performance Analysis Of Computing Systems
Pflanzenphysiologie;Pflanzenphysiologie
Photogrammetrie_2;Photogrammetrie 2
Physiologie_der_Mikroorganismen;Physiologie der Mikroorganismen
Planung_sicherungstechnischer_Anlagen;Planung sicherungstechnischer Anlagen
Planung_und_Optimierung_von_Telekommunikationssystemen;Planung und Optimierung von Telekommunikationssystemen 
PM/Rechentechnisches_Praktikum;PM/Rechentechnisches Praktikum
Politische_Philosophie;Politische Philosophie
Praktikum_Akustik;Praktikum Akustik
Praktikum_Aufbau-_und_Verbindungstechnik_I_/_Technologien_der_Elektronik;Praktikum Aufbau- und Verbindungstechnik I / Technologien der Elektronik
Praktikum_Betriebssysteme;Praktikum Betriebssysteme 
Praktikum_Computergraphik;Praktikum Computergraphik
Praktikum_Datenbanken;Praktikum Datenbanken
Praktikum_Ethernet-basierte_Systeme_in_der_Industrie;Praktikum Ethernet-basierte Systeme in der Industrie
Praktikum_Haskell_für_NLP;Praktikum Haskell für NLP
Praktikum_Haskell_für_NLP_II;Praktikum Haskell für NLP II
Praktikum_Industrielle_Kommunikationssysteme;Praktikum Industrielle Kommunikationssysteme
Praktikum_Prozessorentwurf;Praktikum Prozessorentwurf 
Praktikum_RoboLab_2;Praktikum RoboLab 2 
Praktikum_Software_Fault_Tolerance;Praktikum Software Fault Tolerance
Praktikum_Softwaretechnologie;Praktikum Softwaretechnologie 
Praktikum_Softwaretechnologie_in_der_industriellen_Praxis;Praktikum Softwaretechnologie in der industriellen Praxis 
Praktikum_Technische_Informationssysteme;Praktikum Technische Informationssysteme 
Prediction_and_Estimation_Techniques;Prediction and Estimation Techniques
Principles_of_Dependable_Systems;Principles of Dependable Systems
Problem_Solving_and_Search_in_AI;Problem Solving and Search in AI
Produktionsmanagement_in_der_Fertigung;Produktionsmanagement in der Fertigung 
Produktionssysteme/Produktionsautomatisierung;Produktionssysteme/Produktionsautomatisierung
Programmierbare_Schaltkreise;Programmierbare Schaltkreise 
Programmierparadigmen;Programmierparadigmen
Programmierpraktikum_Graphische_Datenverarbeitung;Programmierpraktikum Graphische Datenverarbeitung
Programmierung;Programmierung
Programmierung_für_das_Lehramt;Programmierung für das Lehramt
Programmierung_von_Mikrokontrollern;Programmierung von Mikrokontrollern 
Project_Group_Computational_Logic;Project Group Computational Logic
Project_Group_Knowledge_Representation_and_Reasoning;Project Group Knowledge Representation and Reasoning 
Project_Group_Model_Checking;Project Group Model Checking
Project_Group_Semantic_Search;Project Group Semantic Search 
Project_Group_Theoretical_Computer_Science;Project Group Theoretical Computer Science 
Projekt_Technische_Informationssysteme;Projekt Technische Informationssysteme
Projektarbeiten_Verkehrssteuerungs-_und_-leittechnik;Projektarbeiten Verkehrssteuerungs- und -leittechnik
Projektarbeiten_Verkehrstelematik;Projektarbeiten Verkehrstelematik
Projektpraktikum_Computer_Vision;Projektpraktikum Computer Vision
Proseminar_Aufgabenstellungen_der_Bildanalyse_und_Mustererkennung;Proseminar Aufgabenstellungen der Bildanalyse und Mustererkennung 
Proseminar_Ausgewählte_Themen_der_Automatentheorie_und_Logik;Proseminar Ausgewählte Themen der Automatentheorie und Logik 
Proseminar_Ausgewählte_Themen_der_Theoretischen_Informatik;Proseminar Ausgewählte Themen der Theoretischen Informatik
Proseminar_Betriebssysteme;Proseminar Betriebssysteme 
Proseminar_Datenbanken;Proseminar Datenbanken
Proseminar_Datenschutz_in_der_Anwendungsentwicklung;Proseminar Datenschutz in der Anwendungsentwicklung 
Proseminar_Internet_of_Things;Proseminar Internet of Things
Proseminar_Kryptographische_Grundlagen_der_Datensicherheit;Proseminar Kryptographische Grundlagen der Datensicherheit 
Proseminar_Mobile_and_Ubiquitous_Computing;Proseminar Mobile and Ubiquitous Computing 
Proseminar_Natural_Language_Processing;Proseminar Natural Language Processing
Proseminar_Rechnerarchitektur;Proseminar Rechnerarchitektur 
Proseminar_Service_and_Cloud_Computing;Proseminar Service and Cloud Computing 
Proseminar_Sicherheit_in_Computersystemen;Proseminar Sicherheit in Computersystemen 
Proseminar_Software_Engineering_Ubiquitärer_Systeme_(SEUS);Proseminar Software Engineering Ubiquitärer Systeme (SEUS)
Proseminar_Softwaretechnologie;Proseminar Softwaretechnologie 
Proseminar_Systems_Engineering;Proseminar Systems Engineering 
Proseminar_Technische_Informatik;Proseminar Technische Informatik 
Proseminar_Technische_Informationssysteme;Proseminar Technische Informationssysteme 
Proseminar_Theoretische_Informatik;Proseminar Theoretische Informatik 
Psychoakustik;Psychoakustik
Qualität_und_Sicherheit_im_Straßenverkehr;Qualität und Sicherheit im Straßenverkehr
Qualitätssicherung;Qualitätssicherung
Quantencomputer_und_Reversible_Schaltungen;Quantencomputer und Reversible Schaltungen
Quantitative_Methoden_zur_Qualitätssicherung;Quantitative Methoden zur Qualitätssicherung 
Raum-_und_Verkehrsplanung;Raum- und Verkehrsplanung
Räumliche_Kinematik_und_Robotik,_Geometrie_II_INF;Räumliche Kinematik und Robotik, Geometrie II INF
Reading_Group_Operating_Systems;Reading Group Operating Systems
Reading_Group_Weighted_Tree_Automata;Reading Group Weighted Tree Automata
Real-Time_Systems;Real-Time Systems
Rechnerarchitektur_I;Rechnerarchitektur I
Rechnerarchitektur_II;Rechnerarchitektur II 
Rechnernetze;Rechnernetze
Rechnernetzpraxis;Rechnernetzpraxis 
Rechnernetzpraxis_für_Lehramt;Rechnernetzpraxis für Lehramt
Rechnernetzpraxis_für_Wirtschaftswissenschaften;Rechnernetzpraxis für Wirtschaftswissenschaften
Rechnerstrukturen_und_-organisation;Rechnerstrukturen und -organisation
Requirements_Engineering_und_Testen;Requirements Engineering und Testen
Resilient_Networking;Resilient Networking
Ressourceneinsatzplanung_in_Fertigungssystemen;Ressourceneinsatzplanung in Fertigungssystemen 
Role-based_Software_Infrastructures;Role-based Software Infrastructures
SAT_Solving;SAT-Solving und das Lösen von Sudokus
SAT-Solving_und_das_Lösen_von_Sudokus;SAT Solving
Satellitenkommunikation;Satellitenkommunikation
Scalable_Data_Engineering;Scalable Data Engineering
Schallschutz_in_der_Straßenplanung;Schallschutz in der Straßenplanung
Schaltkreis-_und_Systementwurf;Schaltkreis- und Systementwurf 
Schedulingtheorie;Schedulingtheorie
Schulpraktische_Übungen_im_Fach_Informatik;Schulpraktische Übungen im Fach Informatik
Science_of_Computational_Logic;Science of Computational Logic
Security_and_Cryptography_I;Security and Cryptography I 
Security_and_Cryptography_II;Security and Cryptography II
Selected_International_Research_in_SE;Selected International Research in SE
Selected_Topics_in_Proof_Theory;Selected Topics in Proof Theory 
Selected_Topics_of_Logics_and_Complexity;Selected Topics of Logics and Complexity 
Semantic_Search:_Algorithms_and_Applications;Semantic Search: Algorithms and Applications 
Seminar_Abstract_Argumentation;Seminar Abstract Argumentation
Seminar_Barrierefreie_Literaturerstellung;Seminar Barrierefreie Literaturerstellung
Seminar_Current_Topics_in_Dependable_Systems;Seminar Current Topics in Dependable Systems 
Seminar_eLearning;Seminar eLearning 
Seminar_Interaktive_Multimediale_Technologien;Seminar Interaktive Multimediale Technologien
Seminar_Knowledge_Representation_and_Reasoning;Seminar Knowledge Representation and Reasoning 
Seminar_Machine_Learning;Seminar Machine Learning 
Seminar_Mathematical_Biology;Seminar Mathematical Biology
Seminar_Model_Checking;Seminar Model Checking
Seminar_Modell_Checking;Seminar Modell Checking
Seminar_Modellierung_und_Architektur_von_Softwaresystemen;Seminar Modellierung und Architektur von Softwaresystemen 
Seminar_Natural_Language_Processing;Seminar Natural Language Processing
Seminar_Photogrammetrie;Seminar Photogrammetrie
Seminar_Schaltkreis-_und_Systementwurf;Seminar Schaltkreis- und Systementwurf
Seminar_Selected_Topics_in_Logic_and_Verification;Seminar Selected Topics in Logic and Verification
Seminar_Theoretical_Computer_Science;Seminar Theoretical Computer Science
Service_und_Cloud_Computing;Service und Cloud Computing
Signalverarbeitung;Signalverarbeitung
Simulationssysteme;Simulationssysteme
Skalierbare_Software-Werkzeuge_zur_Unterstützung_der_Anwendungsoptimierung_auf_HPC-Systemen;Skalierbare Software-Werkzeuge zur Unterstützung der Anwendungsoptimierung auf HPC-Systemen
Software_as_a_Business;Software as a Business
Software_Engineering_ubiquitärer_Systeme;Software Engineering ubiquitärer Systeme
Software_Fault_Tolerance;Software Fault Tolerance
Software-Reengineering;Software-Reengineering
Softwareentwicklung_für_Echtzeitsteuerungen_I;Softwareentwicklung für Echtzeitsteuerungen I 
Softwareentwicklung_für_Echtzeitsteuerungen_II;Softwareentwicklung für Echtzeitsteuerungen II 
Softwareentwicklung_in_der_industriellen_Praxis;Softwareentwicklung in der industriellen Praxis
Softwareentwicklungswerkzeuge;Softwareentwicklungswerkzeuge
Softwaremanagement;Softwaremanagement
Softwaretechnologie;Softwaretechnologie II 
Softwaretechnologie_II;Softwaretechnologie-Projekt
Softwaretechnologie-Projekt;Softwaretechnologie 
Sound_Design_-_Methodenlehre;Sound Design - Methodenlehre
Soziale_Kompetenz;Soziale Kompetenz
Sozialpsychologie_I;Sozialpsychologie I
Spätantike_und_frühes_Mittelalter;Spätantike und frühes Mittelalter
Sprachsynthese;Sprachsynthese
Städtebau_I;Städtebau I
Statistical_Principles_and_Computational_Methods;Statistical Principles and Computational Methods
Steganographie_und_Multimedia-Forensik;Steganographie und Multimedia-Forensik 
Strahlenanwendungen_in_der_Medizin;Strahlenanwendungen in der Medizin
Straßenentwurf_für_Informatik;Straßenentwurf für Informatik
Structured_Proof_Theory_and_Abstract_Logic_Programming;Structured Proof Theory and Abstract Logic Programming 
Struktur_und_Operationsprinzip_von_Prozessoren;Struktur und Operationsprinzip von Prozessoren 
Subjektives_Wohlbefinden_und_Glück;Subjektives Wohlbefinden und Glück
Systematische_und_historische_Berufspädagogik;Systematische und historische Berufspädagogik
Systementwurf;Systementwurf
Systemorientierte_Informatik_und_Hardware_Software_Codesign;Systemorientierte Informatik und Hardware Software Codesign
Systems_Engineering_I;Systems Engineering I
Systems_Engineering_II;Systems Engineering II
Systemsicherheits_Labor;Systemsicherheits-Labor
Systemtechnische_Grundlagen_der_Prozessgestaltung;Systemtechnische Grundlagen der Prozessgestaltung
Technische_Akustik;Technische Akustik
Technische_Grundlagen_der_Informatik;Technische Grundlagen der Informatik
Technische_Mechanik_1;Technische Mechanik 1
Technische_Strömungslehre;Technische Strömungslehre
Technische_Strömungsmechanik;Technische Strömungsmechanik
Technisches_Design_I;Technisches Design I
Technologien_der_Elektronik;Technologien der Elektronik
Test_und_Diagnose_digitaler_Systeme;Test und Diagnose digitaler Systeme
Test_von_Anwendungssystemen;Test von Anwendungssystemen
Test_von_Anwendungssystemen;Test von Anwendungssystemen 
Theorem_Proving_with_Equality;Theorem Proving with Equality
Theoretische_Informatik_und_Logik;Theoretische Informatik und Logik
Theorie_der_Verkehrsplanung;Theorie der Verkehrsplanung
Theorie_und_Einsatz_von_Verbindungseinrichtungen_in_parallelen_Rechnersystemen;Theorie und Einsatz von Verbindungseinrichtungen in parallelen Rechnersystemen 
Theorie_und_Technik_der_Informationssysteme;Theorie und Technik der Informationssysteme
Therapeutische_Gerätetechnik;Therapeutische Gerätetechnik
Transactional_Information_Systems;Transactional Information Systems 
Transactional_Information_Systems_-_Übung;Transactional Information Systems - Übung
Tutorial_Logic_Programming_Engineering;Tutorial Logic Programming Engineering
Übung_Makroökonomie;Übung Makroökonomie
Umwelt_und_Verkehr;Umwelt und Verkehr
Unkonventionelle_Bahnsysteme;Unkonventionelle Bahnsysteme
User_Interface_Engineering;User Interface Engineering
Verfahren_der_Verkehrsökologie_1;Verfahren der Verkehrsökologie 1
Verfahren_der_Verkehrsökologie_2;Verfahren der Verkehrsökologie 2
Verfahrensplanung_und_Verkehrsflusssteuerung;Verfahrensplanung und Verkehrsflusssteuerung
Verkehrs-_und_Infrastrukturplanung;Verkehrs- und Infrastrukturplanung
Verkehrs-_und_Planungsrecht;Verkehrs- und Planungsrecht
Verkehrsnachfragemodellierung_I;Verkehrsnachfragemodellierung I
Verkehrsnachfragemodellierung_II;Verkehrsnachfragemodellierung II
Verkehrsökologie;Verkehrsökologie
Verkehrsökologie;Verkehrsökologie
Verkehrsplanerisches_Kolloquium;Verkehrsplanerisches Kolloquium
Verkehrsrecht;Verkehrsrecht
Verkehrssensorik;Verkehrssensorik
Vehicular_Communication;Vehicular Communication
Virtuelle_Landschaften;Virtuelle Landschaften
Virtuelle_Realitäten;Virtuelle Realitäten
Visualisierung;Visualisierung
Vorbereitung_von_Abschlussarbeiten_in_der_Softwaretechnologie;Vorbereitung von Abschlussarbeiten in der Softwaretechnologie
Wahrnehmung_und_Aufmerksamkeit;Wahrnehmung und Aufmerksamkeit
Web-_und_Multimedia_Engineering;Web- und Multimedia Engineering
Web-Programmierung;Web-Programmierung
Webprogrammierung;Webprogrammierung
WebScale_Data_Management;WebScale Data Management
Wireless_Sensor_Networks;Wireless Sensor Networks
Wissenschaftliche_Visualisierung;Wissenschaftliche Visualisierung 
Wissenschaftliches_Arbeiten;Wissenschaftliches Arbeiten
Wissenschaftskommunikation;Wissenschaftskommunikation
Zell_und_Entwicklungsbiologie;Zell und Entwicklungsbiologie
Zuverlässigkeitstheorie_(VIW_112-3);Zuverlässigkeitstheorie (VIW 112-3)
